Date,Category,Amount,Payment_Mode,Month
1/1/2024,Transport,3279.0,Cash,May
1/2/2024,Entertainment,2080.0,Card,December
1/2/2024,Transport,3217.0,Online,December
1/2/2024,Utilities,1054.0,Online,May
1/5/2024,Food,13249.0,Cash,December
1/5/2024,Entertainment,14800.0,Cash,January
1/8/2024,Shopping,10856.0,Online,April
1/9/2024,Shopping,3630.0,Card,January
1/9/2024,Rent,9227.0,Online,March
1/10/2024,Food,2765.0,Online,July
1/12/2024,Rent,7214.0,Cash,September
1/12/2024,Health,5572.0,Card,November
1/14/2024,Utilities,11452.0,Card,March
1/15/2024,Food,9539.0,Cash,January
1/15/2024,Rent,2483.0,Online,November
1/16/2024,Food,12975.0,Card,April
1/17/2024,Entertainment,7157.0,Online,March
1/18/2024,Transport,6395.0,Card,May
1/19/2024,Transport,10682.0,Online,November
1/20/2024,Entertainment,2465.0,Card,December
1/21/2024,Entertainment,10400.0,Cash,May
1/21/2024,Transport,12547.0,Online,June
1/22/2024,Rent,2365.0,Online,January
1/22/2024,Rent,7394.0,Card,July
1/23/2024,Transport,13769.0,Cash,November
1/25/2024,Entertainment,12857.0,Cash,January
1/27/2024,Food,1660.0,Online,November
1/28/2024,Shopping,9054.0,Online,August
1/28/2024,Shopping,7661.0,Cash,April
1/29/2024,Health,10137.0,Online,July
2/2/2024,Entertainment,999.0,Cash,January
2/2/2024,Shopping,4098.0,Online,October
2/4/2024,Shopping,9647.0,Card,June
2/4/2024,Health,4214.0,Online,September
2/5/2024,Entertainment,14836.0,Card,January
2/5/2024,Entertainment,11344.0,Card,December
2/6/2024,Utilities,2820.0,Cash,February
2/6/2024,Rent,6336.0,Card,July
2/6/2024,Entertainment,6328.0,Card,May
2/7/2024,Health,13261.0,Card,August
2/8/2024,Food,5799.0,Cash,April
2/8/2024,Health,13181.0,Online,January
2/8/2024,Food,10833.0,Online,November
2/10/2024,Shopping,2528.0,Online,September
2/10/2024,Shopping,12813.0,Card,November
2/10/2024,Health,4411.0,Online,December
2/11/2024,Entertainment,6994.0,Online,January
2/12/2024,Food,10924.0,Online,November
2/15/2024,Utilities,9374.0,Online,October
2/16/2024,Food,6394.0,Online,November
2/16/2024,Shopping,10652.0,Cash,August
2/16/2024,Entertainment,5799.0,Card,November
2/17/2024,Health,10421.0,Cash,March
2/18/2024,Shopping,3765.0,Cash,August
2/20/2024,Food,8319.0,Online,May
2/22/2024,Health,5824.0,Card,September
2/22/2024,Utilities,6673.0,Online,August
2/22/2024,Utilities,11403.0,Card,August
2/23/2024,Rent,12070.0,Card,December
2/23/2024,Utilities,12336.0,Card,July
2/27/2024,Health,1490.0,Cash,July
2/27/2024,Entertainment,245.0,Online,September
2/27/2024,Utilities,1200.0,Card,April
2/27/2024,Rent,9335.0,Card,September
2/28/2024,Transport,3945.0,Online,July
3/2/2024,Shopping,11656.0,Online,August
3/3/2024,Utilities,12743.0,Cash,August
3/5/2024,Rent,2239.0,Cash,November
3/9/2024,Utilities,12711.0,Card,May
3/9/2024,Shopping,12215.0,Card,January
3/10/2024,Utilities,109.0,Online,December
3/12/2024,Food,10333.0,Online,August
3/14/2024,Food,1386.0,Card,January
3/15/2024,Health,12381.0,Card,February
3/16/2024,Utilities,8312.0,Online,June
3/16/2024,Rent,12160.0,Online,September
3/20/2024,Health,4458.0,Card,March
3/21/2024,Transport,12908.0,Card,February
3/21/2024,Entertainment,1033.0,Cash,May
3/26/2024,Shopping,11483.0,Cash,April
3/26/2024,Entertainment,6670.0,Card,February
3/28/2024,Health,13713.0,Card,May
3/30/2024,Entertainment,14584.0,Cash,May
3/30/2024,Entertainment,14832.0,Cash,May
3/31/2024,Health,1172.0,Cash,March
4/1/2024,Rent,1740.0,Card,January
4/1/2024,Food,8421.0,Cash,September
4/3/2024,Food,6627.0,Cash,October
4/5/2024,Entertainment,4393.0,Cash,September
4/5/2024,Entertainment,7159.0,Card,October
4/5/2024,Shopping,11181.0,Online,February
4/8/2024,Food,11630.0,Card,January
4/8/2024,Transport,9046.0,Cash,November
4/8/2024,Health,12629.0,Online,July
4/8/2024,Health,394.0,Card,May
4/8/2024,Shopping,7105.0,Online,January
4/8/2024,Food,13176.0,Cash,March
4/8/2024,Entertainment,13716.0,Card,April
4/9/2024,Utilities,12165.0,Cash,June
4/9/2024,Rent,8302.0,Cash,September
4/12/2024,Shopping,3532.0,Online,October
4/12/2024,Shopping,4594.0,Cash,January
4/13/2024,Food,629.0,Card,September
4/13/2024,Health,1809.0,Card,September
4/15/2024,Transport,1074.0,Cash,December
4/15/2024,Health,6216.0,Card,September
4/16/2024,Health,10526.0,Online,December
4/18/2024,Transport,3710.0,Online,February
4/21/2024,Transport,205.0,Card,July
4/22/2024,Food,11803.0,Online,October
4/22/2024,Rent,5726.0,Card,March
4/22/2024,Food,11525.0,Online,February
4/24/2024,Transport,8289.0,Card,June
4/25/2024,Health,10269.0,Card,November
4/26/2024,Entertainment,9260.0,Online,June
4/26/2024,Health,1056.0,Online,December
4/27/2024,Transport,12120.0,Card,August
4/29/2024,Food,9947.0,Online,July
4/29/2024,Health,2049.0,Online,January
5/1/2024,Transport,2575.0,Card,September
5/1/2024,Rent,9230.0,Cash,January
5/2/2024,Entertainment,6442.0,Cash,March
5/3/2024,Utilities,12257.0,Online,October
5/4/2024,Entertainment,13860.0,Online,February
5/5/2024,Utilities,12437.0,Online,February
5/6/2024,Food,10673.0,Cash,April
5/7/2024,Utilities,1055.0,Cash,December
5/8/2024,Entertainment,2704.0,Card,August
5/9/2024,Rent,5279.0,Card,January
5/10/2024,Food,6468.0,Cash,June
5/10/2024,Food,14661.0,Card,July
5/10/2024,Utilities,10401.0,Card,June
5/11/2024,Food,4716.0,Online,March
5/12/2024,Food,5639.0,Card,April
5/13/2024,Health,10929.0,Online,May
5/14/2024,Transport,2819.0,Online,October
5/14/2024,Entertainment,10346.0,Card,September
5/18/2024,Utilities,4386.0,Online,December
5/22/2024,Food,14723.0,Online,August
5/22/2024,Utilities,3255.0,Cash,March
5/23/2024,Food,10545.0,Online,March
5/23/2024,Rent,4246.0,Cash,April
5/23/2024,Health,8664.0,Card,April
5/23/2024,Food,13499.0,Online,July
5/24/2024,Transport,5391.0,Cash,June
5/26/2024,Food,8686.0,Online,May
5/27/2024,Health,13475.0,Cash,December
5/28/2024,Food,14214.0,Cash,June
5/29/2024,Transport,5643.0,Online,June
5/30/2024,Health,7251.0,Cash,April
5/30/2024,Rent,2143.0,Online,February
5/31/2024,Health,14156.0,Cash,May
6/1/2024,Health,1995.0,Cash,August
6/2/2024,Health,9500.0,Cash,July
6/3/2024,Transport,12573.0,Cash,February
6/5/2024,Rent,7414.0,Cash,March
6/6/2024,Shopping,8603.0,Online,October
6/8/2024,Rent,9005.0,Cash,July
6/8/2024,Utilities,14387.0,Online,November
6/8/2024,Health,9177.0,Cash,August
6/9/2024,Transport,9679.0,Online,April
6/9/2024,Entertainment,5483.0,Card,July
6/9/2024,Entertainment,7374.0,Cash,December
6/10/2024,Transport,12841.0,Cash,July
6/11/2024,Health,9973.0,Online,July
6/11/2024,Food,3244.0,Cash,May
6/13/2024,Health,9700.0,Online,July
6/15/2024,Shopping,4915.0,Card,January
6/15/2024,Health,12361.0,Card,August
6/16/2024,Health,13075.0,Online,November
6/16/2024,Entertainment,8736.0,Card,March
6/18/2024,Rent,6541.0,Online,May
6/19/2024,Entertainment,14959.0,Card,April
6/20/2024,Shopping,761.0,Cash,May
6/21/2024,Rent,6774.0,Online,August
6/21/2024,Rent,5116.0,Cash,April
6/22/2024,Transport,2459.0,Online,November
6/24/2024,Food,11206.0,Online,June
6/25/2024,Shopping,5545.0,Card,September
6/26/2024,Health,9877.0,Cash,September
6/28/2024,Shopping,5338.0,Online,June
6/29/2024,Rent,13743.0,Online,November
6/30/2024,Entertainment,6395.0,Online,May
7/2/2024,Transport,14423.0,Card,November
7/4/2024,Utilities,13567.0,Card,February
7/5/2024,Entertainment,13647.0,Card,January
7/6/2024,Shopping,14160.0,Card,October
7/7/2024,Entertainment,8567.0,Card,February
7/8/2024,Food,11286.0,Cash,June
7/8/2024,Health,11462.0,Cash,October
7/8/2024,Shopping,8953.0,Cash,December
7/8/2024,Transport,12140.0,Online,December
7/8/2024,Transport,10338.0,Cash,August
7/9/2024,Transport,1056.0,Cash,January
7/9/2024,Food,2952.0,Cash,June
7/10/2024,Utilities,8079.0,Online,June
7/10/2024,Shopping,6159.0,Card,January
7/10/2024,Utilities,3664.0,Cash,February
7/12/2024,Utilities,12249.0,Online,March
7/13/2024,Rent,558.0,Card,December
7/14/2024,Entertainment,9916.0,Online,June
7/14/2024,Entertainment,9572.0,Online,June
7/16/2024,Transport,4573.0,Cash,August
7/19/2024,Food,11636.0,Cash,August
7/19/2024,Health,2917.0,Card,January
7/19/2024,Utilities,6606.0,Online,November
7/20/2024,Utilities,8328.0,Cash,August
7/21/2024,Food,3733.0,Card,June
7/21/2024,Utilities,9869.0,Card,May
7/22/2024,Rent,2069.0,Cash,September
7/24/2024,Health,12557.0,Cash,November
7/25/2024,Food,5452.0,Card,September
7/26/2024,Rent,101.0,Online,November
7/31/2024,Rent,12198.0,Online,September
8/2/2024,Rent,12389.0,Online,October
8/2/2024,Transport,906.0,Cash,July
8/4/2024,Transport,4030.0,Card,April
8/4/2024,Food,10239.0,Cash,October
8/4/2024,Food,12268.0,Cash,August
8/5/2024,Shopping,991.0,Card,September
8/5/2024,Health,13062.0,Cash,November
8/7/2024,Rent,3156.0,Card,April
8/7/2024,Entertainment,13705.0,Card,September
8/7/2024,Shopping,3373.0,Cash,March
8/7/2024,Shopping,4744.0,Online,January
8/10/2024,Health,10766.0,Card,December
8/10/2024,Utilities,7411.0,Card,October
8/12/2024,Health,6735.0,Card,April
8/12/2024,Shopping,10798.0,Online,March
8/12/2024,Rent,1198.0,Online,September
8/13/2024,Health,13712.0,Card,September
8/14/2024,Shopping,3141.0,Cash,July
8/14/2024,Rent,13386.0,Online,May
8/16/2024,Shopping,12300.0,Cash,October
8/17/2024,Shopping,3754.0,Online,April
8/17/2024,Food,4209.0,Card,September
8/18/2024,Food,12291.0,Cash,April
8/18/2024,Health,13118.0,Cash,December
8/18/2024,Rent,14970.0,Online,March
8/20/2024,Health,2996.0,Card,June
8/20/2024,Utilities,1341.0,Card,June
8/20/2024,Food,6147.0,Cash,August
8/20/2024,Health,6670.0,Online,April
8/21/2024,Food,1923.0,Online,December
8/22/2024,Rent,10928.0,Online,November
8/24/2024,Transport,9300.0,Card,August
8/28/2024,Transport,377.0,Cash,February
8/29/2024,Entertainment,732.0,Online,March
8/29/2024,Food,10668.0,Online,November
8/30/2024,Utilities,4669.0,Cash,November
8/31/2024,Food,2566.0,Cash,December
9/2/2024,Health,8004.0,Card,August
9/3/2024,Transport,12604.0,Online,October
9/3/2024,Health,8882.0,Cash,July
9/7/2024,Food,10394.0,Cash,October
9/8/2024,Food,9616.0,Card,July
9/8/2024,Health,13371.0,Cash,September
9/9/2024,Shopping,1036.0,Online,January
9/9/2024,Shopping,13853.0,Cash,June
9/9/2024,Health,2171.0,Cash,April
9/9/2024,Utilities,12881.0,Card,August
9/9/2024,Food,14594.0,Cash,September
9/10/2024,Food,10091.0,Card,August
9/10/2024,Rent,13721.0,Online,October
9/10/2024,Food,12530.0,Card,January
9/12/2024,Utilities,10626.0,Online,May
9/12/2024,Health,3553.0,Cash,March
9/14/2024,Shopping,5009.0,Online,June
9/15/2024,Transport,14152.0,Card,January
9/15/2024,Entertainment,14388.0,Online,June
9/19/2024,Health,313.0,Online,August
