Date,Transaction Description,Category,Amount
2020-01-02,Score each.,Food & Drink,148569.0
2020-01-02,Quality throughout.,Utilities,147558.0
2020-01-04,Instead ahead despite measure ago.,Rent,118508.0
2020-01-05,Information last everything thank serve.,Investment,22910.0
2020-01-13,Future choice whatever from.,Food & Drink,112688.0
2020-01-14,Benefit suggest page southern.,Shopping,44868.0
2020-01-18,By two bad fall pick.,Food & Drink,152003.0
2020-01-19,Court attorney product significant world.,Other,32870.0
2020-01-21,Herself law.,Entertainment,191485.0
2020-01-25,Have decide environment.,Rent,76606.0
2020-01-25,Play move each left establish.,Health & Fitness,121141.0
2020-01-26,Range successful simply.,Salary,107709.0
2020-01-29,Source husband.,Shopping,16681.0
2020-01-30,Tree note responsibility.,Health & Fitness,115893.0
2020-01-31,How trip learn enter.,Food & Drink,132591.0
2020-01-31,Much section investment on gun.,Rent,171208.0
2020-01-31,Management sense technology check civil.,Shopping,56317.0
2020-02-02,As high you more wife.,Health & Fitness,33368.0
2020-02-04,Race mr.,Travel,140662.0
2020-02-05,Born itself law west.,Rent,122217.0
2020-02-05,Seven medical blood personal.,Investment,18380.0
2020-02-07,Current hear claim well two.,Travel,197915.0
2020-02-07,Food affect upon these story.,Entertainment,137238.0
2020-02-08,Around there water.,Food & Drink,46581.0
2020-02-08,Staff within mouth call.,Other,37860.0
2020-02-09,Close month parent who up.,Entertainment,182714.0
2020-02-11,Human public health.,Health & Fitness,43313.0
2020-02-13,Building different full open.,Salary,29431.0
2020-02-15,Detail audience piece director town.,Other,40090.0
2020-02-16,Method everything.,Shopping,73037.0
2020-02-16,Much rich think.,Utilities,102396.0
2020-02-18,Drug list imagine behind.,Investment,13980.0
2020-02-19,Interest level rock pull.,Investment,39580.0
2020-02-20,I fund.,Shopping,76942.0
2020-02-26,Court movie cell.,Travel,194245.0
2020-02-27,Leg themselves away.,Food & Drink,136376.0
2020-02-28,Anything yourself.,Other,32860.0
2020-02-28,Unit support.,Other,17950.0
2020-02-29,Magazine degree husband around.,Travel,194406.0
2020-03-03,World enter.,Rent,174233.0
2020-03-04,Institution whatever yet.,Entertainment,31415.0
2020-03-04,Choice father why often.,Food & Drink,12019.0
2020-03-09,Security arm.,Rent,185891.0
2020-03-09,Me system church whether.,Travel,48651.0
2020-03-11,Attention attack technology.,Rent,18045.0
2020-03-11,Walk now often.,Rent,195619.0
2020-03-12,Bank price north first end.,Utilities,2655.0
2020-03-12,Enter capital population.,Utilities,53746.0
2020-03-14,Upon very act perform.,Shopping,192908.0
2020-03-15,Available defense.,Entertainment,142877.0
2020-03-18,Value thing these.,Health & Fitness,88182.0
2020-03-21,Citizen street region.,Rent,50333.0
2020-03-23,Property never.,Investment,23850.0
2020-03-23,Enough threat score.,Food & Drink,15128.0
2020-03-24,Example decision garden.,Entertainment,14413.0
2020-03-28,Major town suffer begin.,Other,10800.0
2020-04-01,Analysis four capital.,Travel,134127.0
2020-04-05,Scientist necessary into.,Utilities,144947.0
2020-04-06,Away third.,Salary,49356.0
2020-04-06,Along hard need involve among.,Shopping,38892.0
2020-04-10,Together decide.,Other,34020.0
2020-04-17,Government nice.,Salary,172904.0
2020-04-17,See understand door class son.,Investment,9960.0
2020-04-18,Agent say forward us.,Health & Fitness,160318.0
2020-04-22,City red him.,Investment,20580.0
2020-04-23,Develop staff least figure.,Utilities,84954.0
2020-04-25,Age cover foreign.,Entertainment,175023.0
2020-04-26,Go meeting quickly.,Investment,9140.0
2020-04-26,Voice boy wife condition.,Food & Drink,19383.0
2020-04-27,Board its.,Entertainment,34096.0
2020-04-27,Paper memory history office.,Entertainment,173065.0
2020-04-29,Remember ability.,Utilities,76416.0
2020-04-30,Hair attorney professional.,Travel,185377.0
2020-05-01,Finish summer rest feel finally.,Travel,85178.0
2020-05-03,I fast camera inside.,Salary,31805.0
2020-05-03,Past feeling nature.,Food & Drink,116257.0
2020-05-05,Expert involve oil.,Health & Fitness,12376.0
2020-05-06,Kid put memory soldier.,Utilities,12319.0
2020-05-06,Exist professional.,Utilities,14636.0
2020-05-07,Stand seem.,Investment,38070.0
2020-05-11,Southern challenge animal.,Investment,8250.0
2020-05-12,Sure authority increase picture create.,Shopping,131817.0
2020-05-13,Hundred challenge reach throughout.,Health & Fitness,187007.0
2020-05-14,Despite sound receive let.,Health & Fitness,48499.0
2020-05-15,True building card.,Travel,91988.0
2020-05-16,Write other wear through partner.,Rent,2854.0
2020-05-17,Store natural today season.,Rent,15579.0
2020-05-19,Else easy point she.,Travel,27359.0
2020-05-20,Phone ever back experience.,Rent,175975.0
2020-05-21,Floor music catch discuss.,Utilities,88199.0
2020-05-25,Ask imagine my.,Travel,122724.0
2020-05-27,Deal information.,Food & Drink,133905.0
2020-05-28,Task she.,Rent,187847.0
2020-05-29,Accept goal send table.,Investment,13760.0
2020-05-30,Section national owner determine detail.,Utilities,55197.0
