date,category,amount,notes
2023-04-25,Educaton,3888.0,Movie tickets
08/05/2022,rent,649.0,asdfgh
31-12-23,Freelance,13239.0,Books
,Fod,6299.0,Electricity bill
04/11/2024,Foods,4168.0,test
08/16/2022,education,828.0,Uber ride
13-03-24,Utilties,5070.0,Grocery shopping
11/10/2023,Others,59543.0,Gym membership
2021-04-18,Utility,4262.0,Uber ride
02/24/2022,Rentt,23760.0,Electricity bill
08/28/2023,Food,898.0,Restaurant dinner
17-07-24,rent,9567.0,ATM withdrawal
2021-02-27,Others,49683.0,xyz123
21-09-2024,FOOD,222.0,misc
25-02-23,Travel,2553.0,Doctor consultation
2021-02-14,food,7406.0,xyz123
,health,4846.0,Books
2023-02-04,Foods,2206.0,xyz123
2024-04-20,Entertainment,7038.0,Gym membership
2024-12-16,education,8119.0,Books
28-12-21,education,4189.0,Uber ride
2022-10-10,Investment,19947.0,Coffee
2021-05-22,FOOD,,Shopping
05-05-21,Travel,2407.0,Internet bill
09/08/2024,Food,3085.0,Electricity bill
2023-02-22,HEALTH,5252.0,Online course
12/15/2022,rent,,Train ticket
22-09-2021,RENT,7619.0,Movie tickets
23-02-21,Helth,8497.0,Gym membership
04/15/2021,Travel,8241.0,Movie tickets
05/25/2022,Foods,235.0,ATM withdrawal
2023-08-09,HEALTH,2134.0,Books
06/19/2021,Education,2228.0,Movie tickets
2024-01-11,RENT,,ATM withdrawal
26-02-2022,entertainment,371.0,Uber ride
07/10/2021,Food,225.0,!!!
04/15/2023,Rent,23776.0,Doctor consultation
04/10/2021,Utlities,601.0,Medicine
09/05/2024,Others,3219.0,Internet bill
,Rnt,8182.0,test
04/21/2024,savings,8111.0,Grocery shopping
04/18/2022,Utilties,5554.0,EMI payment
2024-08-15,Salary,41573.0,Coffee
12-01-2024,EDU,3110.0,Doctor consultation
25-07-24,Foodd,4277.0,Train ticket
17-01-24,Foods,3047.0,Grocery shopping
04/16/2022,Travel,9888.0,Shopping
07/03/2024,Rentt,7217.0,Internet bill
2021-10-05,Education,9725.0,Restaurant dinner
2023-05-27,entertainment,9648.0,!!!
2023-10-22,Traval,1643.0,Petrol
12/23/2021,Education,,test
2022-12-10,Freelance,70075.0,Gym membership
2021-10-31,Foods,864.0,Shopping
04/10/2024,Educaton,1206.0,Shopping
2023-07-06,Education,8204.0,!!!
06/23/2024,EDU,5756.0,xyz123
12/20/2021,food,5576.0,Medicine
2021-11-05,health,9771.0,Petrol
2022-01-25,Rentt,20509.0,Train ticket
2024-09-13,Bonus,62193.0,Electricity bill
2023-08-22,Utility,3367.0,Monthly rent payment
2024-05-13,health,2721.0,EMI payment
02/13/2023,rent,2962.0,Books
2024-09-16,Utilities,3520.0,test
04/07/2024,Travel,5524.0,Fixed deposit
2021-12-18,Traval,999999.0,Lunch
11/14/2024,Entertainment,1800.0,Internet bill
08/07/2023,Investment,32146.0,ATM withdrawal
2021-07-11,Rnt,2966.0,EMI payment
12/29/2024,travel,9705.0,misc
2022-08-14,Food,2637.0,Fixed deposit
,Foods,425.0,Petrol
2024-01-21,Bonus,34145.0,!!!
06/15/2022,Saving,5195.0,Grocery shopping
2024-10-05,Entrtnmnt,3143.0,Books
08/06/2023,travel,2135.0,Medicine
25-12-24,Foodd,2163.0,Doctor consultation
2024-11-22,HEALTH,3929.0,Shopping
05-10-2024,Freelance,23852.0,Coffee
2024-05-31,Bonus,49639.0,Online course
19-08-2024,education,3150.0,Coffee
2022-06-07,Helth,9408.0,Electricity bill
06/25/2022,Entertain,4114.0,Fixed deposit
2023-03-29,TRAVEL,9681.0,Online course
29-03-22,travel,3011.0,Grocery shopping
05/05/2023,Bonus,32789.0,Lunch
2023-02-10,Utility,6704.0,Doctor consultation
2022-08-27,Travel,4427.0,Gym membership
27-11-21,entertainment,3121.0,Grocery shopping
05/19/2024,FOOD,3802.0,Petrol
03/06/2021,Education,544.0,Lunch
28-01-23,Travel,8305.0,test
03-10-21,Traval,,misc
08/24/2021,RENT,3569.0,Online course
2024-11-05,Rnt,2979.0,Medicine
2024-09-11,Travel,1863.0,Lunch
06/24/2022,Rent,34984.0,Petrol
05/12/2024,Investment,44031.0,Online course
12/11/2021,Salary,24920.0,Online course
25-05-22,health,4201.0,Online course
2022-02-17,Rentt,47473.0,Online course
12/06/2021,Investment,75822.0,Medicine
10/26/2021,food,677.0,Medicine
08/26/2024,Rent,43252.0,test
2021-04-24,Food,2615.0,ATM withdrawal
06-04-24,Foods,2855.0,misc
28-11-21,Bonus,57358.0,!!!
13-07-24,RENT,4583.0,Lunch
10/18/2021,Misc,4952.0,ATM withdrawal
03-11-24,others,3941.0,Lunch
19-06-21,Entertain,1998.0,Internet bill
03/17/2021,food,8124.0,Coffee
01-12-21,Travel,1326.0,asdfgh
09/26/2024,savings,4328.0,Medicine
04-04-2023,Foodd,276.0,Restaurant dinner
2022-04-02,Utlities,4215.0,ATM withdrawal
11/04/2023,Utlities,6316.0,ATM withdrawal
2024-03-10,Rentt,21376.0,test
2021-01-09,Utility,7391.0,Uber ride
05/31/2023,Travel,2990.0,Train ticket
2022-12-24,Utility,2230.0,ATM withdrawal
2021-09-17,Fod,6197.0,xyz123
06-05-2021,food,6502.0,Shopping
05-05-24,Food,,xyz123
12/30/2022,RENT,1518.0,Electricity bill
06-03-2021,Traval,2985.0,Restaurant dinner
27-12-2024,utilities,6671.0,Doctor consultation
2023-07-04,Traval,1409.0,xyz123
07/20/2024,EDU,2497.0,!!!
03/24/2021,Utility,6324.0,Gym membership
02/08/2023,Utlities,7080.0,test
2022-01-14,Utility,7821.0,test
2021-08-14,rent,988.0,Restaurant dinner
12/15/2022,Freelance,23504.0,Electricity bill
10/12/2021,food,2683.0,xyz123
11/30/2023,food,5022.0,Internet bill
2021-04-01,FOOD,7849.0,Petrol
2024-06-10,Bonus,33565.0,Gym membership
11/04/2024,Salary,66678.0,EMI payment
03-05-2024,education,6304.0,Fixed deposit
2023-02-05,Entertainment,7713.0,Monthly rent payment
20-03-24,Helth,2603.0,Monthly rent payment
12/22/2023,Foods,314.0,Train ticket
2024-10-30,Education,9806.0,Petrol
03/15/2021,travel,9891.0,Grocery shopping
08/09/2024,Health,6869.0,asdfgh
04-01-21,Foods,3765.0,Fixed deposit
2023-08-06,Freelance,,Electricity bill
25-07-21,Entertainment,4638.0,!!!
09/23/2021,Freelance,11650.0,!!!
22-02-24,Utilties,5790.0,misc
31-01-22,Investment,31183.0,Shopping
2023-04-13,Food,775.0,Monthly rent payment
11/03/2021,entertainment,8230.0,EMI payment
12/14/2024,Rnt,5582.0,Monthly rent payment
02/05/2024,Investment,73830.0,xyz123
02/21/2021,Rent,23340.0,Doctor consultation
