date,category,amount,notes
December 22 2021,Rent,998.0,Paid electricity bill 
03/24/2022,Food,143.0,Grocery shopping
12/12/2021,Rent,49.0,Paid electricity bill
,Other Income,83802.0,Gift via app
12-07-22,Entertainment,208.0,Monthly rent
September 12 2019,Savings,681.0,Salary
2022-01-06,Rent,2524.0,Salary
04-11-22,Education,93.0,hZtATyn1UX55solCMr1
February 03 2021,Food,323.0,Monthly rent
02-11-22,Others,662.0,Salary cash
12/29/2022,Entertainmennt,203.0,Course fee 
2020-10-26,Salaryy,59149.0,Netflix subscription
2021-05-25,Other Income,78744.0,Doctor visit
March 03 2021,Other Income,58874.0,Salary
2021-09-24,Food,258.0,Dinner at resto
2022-07-02,Travel,336.0,Uber to office
January 20 2022,Food,383.0,Grocery shopping
2021-06-26,Food,1761.0,wkAdxBaz8rnYSOE
December 28 2020,Rent,1580.0,Uber to office
19-11-21,Reent,856.0,Paid electricity bill 
2022-04-17,Bonus,35621.0,Uber to office
04/24/2019,Rent,490.0,Doctor visit
2020-07-13,Food,1096.0,Uber to office
January 01 2021,Health,193.0,Netflix subscription
August 05 2020,Entertainment,187.0,Doctor visit cash
October 16 2022,Others,2506.0,Doctor visit cash
2020-04-05,Salary,56751.0,Paid electricity bill
07/08/2019,Other Income,63433.0,Paid electricity bill cash
2022-12-18,Bonus,55318.0,Monthly rent cash
2022-04-29,Others,206.0,Uber to office
28-10-22,Utilities,215.0,Uber to office 
2019-02-16,Travel,2871.0,Monthly rent via app
07/15/2020,Utilities,272.0,VDSr4SI1JVHg
March 31 2021,Food,5387.0,A7Brvt0bSrovLXo
18-06-22,Other Income,53334.0,Grocery shopping 
01-03-22,Travel,239.0,Paid electricity bill
2019-12-28,Entertainment,123.0,Dinner at resto cash
2019-04-18,Food,125.0,Monthly rent
01/12/2019,Others,517.0,Doctor visit
10-02-19,Food,3186.0,Grocery shopping
,Food,141.0,Paid electricity bill
10/24/2019,Travel,266.0,Doctor visit
12-02-21,Food,996.0,Paid electricity bill late
10-05-19,Rent,186.0,Monthly rent
2019-03-06,Rent,216.0,zQQvRHrCGH
11-02-20,Others,196.0,Course fee cash
23-08-20,Rent,1015.0,Salary cash
July 17 2019,Bonus,46491.0,Gift
06/16/2022,ood,4048.0,Monthly rent
05/24/2022,Other Income,32770.0,Dinner at resto
November 10 2019,Entertainment,2951.0,Uber to office
2022-02-14,Food,56.0,Grocery shopping
2022-07-04,Traavel,745.0,Uber to office via app
2021-02-01,Salary,52826.0,Paid electricity bill 
March 27 2020,Savings,408.0,Paid electricity bill cash
2019-09-27,Rent,1237.0,Gift cash
2022-04-19,Entertainment,,Monthly rent cash
October 04 2022,Rent,1530.0,Netflix subscription
06-01-19,Travel,200.0,Grocery shopping late
June 29 2019,Travel,183.0,Salary
2022-03-14,Food,333.0,Doctor visit 
October 13 2021,Food,1275.0,Gift 
06-04-20,Entertainment,1769.0,Paid electricity bill 
July 21 2022,Travel,100.0,cJ9BkudD4Tf3Ql
12/27/2020,Rent,814.0,Gift
04-07-21,Utilities,208.0,Salary via app
2021-12-22,Education,113.0,Grocery shopping
24-12-20,Rent,44.0,Gift
2022-03-24,Rent,219.0,Course fee
01-07-19,Salary,52861.0,Course fee
09/20/2020,Food,33.0,Monthly rent
10-04-20,Entertainment,418.0,Paid electricity bill
30-10-21,Savings,184.0,sboT5a6RW
2020-08-03,Other Income,68894.0,Salary 
22-04-19,Savings,2849.0,Uber to office
