Text,Category Id
Lidl )))),2
Deposit Rent,1
McDonalds Banegaards )))),3
Burger Shack,3
Netto,2
Rent payment,1
Cinema,3
Gas station,0
Doctor visit,4
Bookstore,5
Clothing store,6
ATM withdrawal,7
Insurance premium,8
Misc payment,9
Supermarket,2
Coffee shop,3
Gym,4
Online course,5
i spent 4k on netflix sub,3
paid 20 for spotify,3
Shell petrol,0
Tank station,0
Car wash,0
Parking fee,0
Public transport,0
Uber ride,0
Taxi,0
Fuel,0
Rent,1
Mortgage payment,1
Deposit Rent,1
Utilities electricity,1
Water bill,1
Council tax,1
Landlord transfer,1
Housing association,1
Apartment rent,1
Lidl,2
Netto,2
Aldi,2
Supermarket,2
Fakta,2
Rema 1000,2
Grocery store,2
Bilka,2
Kvickly,2
Bought groceries,2
Weekly shopping,2
Food store,2
Bought milk and bread,2
spent 500 on groceries,2
Netflix,3
Spotify,3
HBO,3
Disney Plus,3
Cinema,3
Restaurant,3
Pizza place,3
KFC,3
McDonalds,3
Burger King,3
Coffee shop,3
Bar,3
Pub,3
Bowling,3
Concert tickets,3
Theatre,3
spent 4k on netflix sub,3
paid for spotify premium,3
dinner at restaurant,3
movie tickets,3
Doctor,4
Dentist,4
Pharmacy,4
Hospital,4
Gym,4
Yoga class,4
Physiotherapy,4
Health insurance,4
Medicine,4
Optician,4
spent on gym membership,4
pharmacy vitamins,4
Bookstore,5
Online course,5
Udemy,5
Coursera,5
Library,5
Museum,6
Art supplies,5
Magazine subscription,5
hobby materials,5
bought a book,5
paid for online course,5
Clothing store,6
H&M,6
Zara,6
Shoe store,6
Sport equipment,6
Electronics store,6
Ikea,6
bought new shoes,6
clothes shopping,6
new jacket,6
ATM,7
Cash withdrawal,7
Withdrawal,7
Cash out,7
Money transfer,7
Visa payment,7
Mastercard,7
Insurance,8
Bank fee,8
Loan payment,8
Pension contribution,8
Investment,8
Savings transfer,8
Tax payment,8
Account fee,8
Insurance premium,8
Bank charges,8
Unknown payment,9
Misc,9
Misc payment,9
Other,9
Refund,9
Donation,9
Transfer,9
Lidl )))),2
Netto ))),2
Føtex,2
Meny,2
Irma,2
Coop,2
Spar,2
Kiosk snacks,2
Bakery,2
Butcher,2
Fish market,2
Organic shop,2
Rent monthly,1
Rent Deposit,1
Housing rent,1
Electricity bill,1
Heating,1
Internet provider,1
Cleaning supplies,1
Furniture store,1
Ikea furniture,1
Hardware store,1
Shell,0
Circle K,0
Q8,0
Gas,0
Train ticket,0
Bus pass,0
Bike repair,0
Toll road,0
Car service,0
Car insurance,0
McDonalds,3
Burger Shack,3
Starbucks,3
Cafe,3
Pizza,3
Sushi,4
Takeaway,3
Cinema ticket,3
Netflix subscription,3
Spotify subscription,3
Gaming,3
Steam,3
PlayStation,3
Xbox,3
Doctor visit,4
Dentist appointment,4
Pharmacy,4
Chemist,4
Gym membership,4
Fitness,4
Pilates,4
Swimming pool,4
Health check,4
Prescription,4
Book,5
Course,5
Training,5
Workshop,5
Seminar,5
Conference,5
Learning,5
Education,5
T-shirt,6
Jeans,6
Shoes,6
Boots,6
Winter coat,6
Furniture,6
Bedding,6
Kitchen stuff,6
Cash,7
ATM cash,7
Withdrew cash,7
Money out,7
Cash back,7
Visa,7
Card payment,7
Bank,8
Insurance,8
Loan,8
Mortgage,8
Pension,8
Investment,8
Savings,8
Fee,8
Charge,8
Misc,9
Other,9
Unknown,9
Refund received,9
PayPal,9
Lidl shopping,2
Netto shopping,2
grocery run,2
food shopping,2
weekly food,2
bought food at lidl,2
spent on groceries at netto,2
Rent for January,1
paid rent,1
monthly rent,1
deposit for apartment,1
electricity and water,1
gas bill,1
Filled up the car,0
petrol station,0
bus fare,0
train,0
metro,0
parking,0
netflix monthly,3
spotify family,3
went to cinema,3
ate at mcdonalds,3
coffee at starbucks,3
bought game on steam,3
subscription disney,3
Gym fee,4
doctor appointment,4
bought medicine,4
pharmacy,4
yoga,4
health checkup,4
Bought book on amazon,5
online course python,5
udemy course,5
coursera subscription,5
magazine,5
New jeans at H&M,6
bought shoes,6
sportswear,6
furniture ikea,6
electronics,6
withdrew 500,7
atm 200,7
cash,7
Insurance car,8
bank fee,8
loan repayment,8
pension,8
savings account,8
random payment,9
misc expense,9
other stuff,9
BP Petrol,0
Esso,0
Total petrol,0
Parking meter,0
Lyft,0
Bolt,0
Car maintenance,0
Oil change,0
Tire repair,0
Highway toll,0
Ferry ticket,0
Flight ticket,0
Hotel parking,0
Electric charging,0
Scooter rental,0
Landlord,1
Monthly rent,1
Security deposit,1
Property tax,1
Home insurance,1
Repairs,1
Plumber,1
Electrician,1
Broadband,1
Mobile bill,1
Trash collection,1
Waste disposal,1
Coop supermarket,2
Sainsburys,2
Tesco,2
Waitrose,2
Morrisons,2
Asda,2
Costco,2
Walmart,2
Target groceries,2
Whole Foods,2
Trader Joes,2
Farmers market,2
Dairy products,2
Vegetables,2
Meat shop,2
Liquor store,2
Breakfast food,2
Lunch groceries,2
Dinner ingredients,2
Snacks,2
Baby food,2
Pet food,2
Amazon Prime,3
Apple TV,3
YouTube Premium,3
Disney+,3
Hulu,3
Spotify Premium,3
Tidal,3
Concert,3
Football match,3
Basketball game,3
Theme park,3
Zoo,3
Museum visit,3
Art gallery,3
Nightclub,3
Wine bar,3
Brunch,3
Lunch restaurant,3
Dinner out,3
Food delivery,3
Uber Eats,3
DoorDash,3
Just Eat,3
Domino's,3
Subway,3
